Year,Round,Match Info,Date Time,Countries,Scores by Quarter,Final Score
2024,finals,"Men's Placement Match 3/4
OFFICIAL",2/17/2024 3:30,Spain vs France,4 1 5 3 2 2 3 4,"14
10"
2024,finals,"Men's Final Match 48
OFFICIAL",2/17/2024 9:30,Italy vs Croatia,3 2 2 3 2 3 4 3,"13
15"
2024,semifinals,"Men's Semi Final Match 43
OFFICIAL",2/15/2024 8:00,Spain vs Italy,1 1 1 3 1 2 3 2,"6
8"
2024,semifinals,"Men's Semi Final Match 44
OFFICIAL",2/15/2024 9:30,Croatia vs France,3 2 3 3 3 1 2 5,"17
16"
2024,quarterfinals,"Men's Quarter Final Round Match 35
OFFICIAL",2/13/2024 8:00,Spain vs Montenegro,5 2 3 5 5 0 2 5,"15
12"
2024,quarterfinals,"Men's Quarter Final Round Match 36
OFFICIAL",2/13/2024 9:30,Greece vs Italy,3 1 2 5 3 2 2 3,"10
11"
2024,quarterfinals,"Men's Quarter Final Round Match 37
OFFICIAL",2/13/2024 11:00,Serbia vs Croatia,4 4 5 5 1 2 3 4,"13
15"
2024,quarterfinals,"Men's Quarter Final Round Match 38
OFFICIAL",2/13/2024 12:30,Hungary vs France,4 2 3 1 1 3 2 5,"10
11"
2024,classification,"Men's Classification 13-16 Match 25
OFFICIAL",2/11/2024 1:00,South Africa vs Brazil,4 5 0 4 0 3 1 6,"5
18"
2024,classification,"Men's Classification 13-16 Match 26
OFFICIAL",2/11/2024 2:30,Japan vs Kazakhstan,3 2 5 0 5 2 4 0,"17
4"
2024,classification,"Men's Placement Match 15/16
OFFICIAL",2/13/2024 1:00,South Africa vs Kazakhstan,3 0 4 3 1 4 3 3,"11
10"
2024,classification,"Men's Placement Match 13/14
OFFICIAL",2/13/2024 2:30,Brazil vs Japan,4 6 2 5 3 5 2 6,"11
22"
2024,classification,"Men's Classification 9-12 Match 33
OFFICIAL",2/13/2024 4:00,People's Republic of China vs Romania,2 1 2 2 1 4 2 2,"7
9"
2024,classification,"Men's Classification 9-12 Match 34
OFFICIAL",2/13/2024 5:30,Australia vs United States of America,3 4 4 5 1 3 2 4,"10
16"
2024,classification,"Men's Placement Match 11/12
OFFICIAL",2/15/2024 1:00,People's Republic of China vs Australia,2 8 0 4 1 4 4 1,"7
17"
2024,classification,"Men's Placement Match 9/10
OFFICIAL",2/15/2024 2:30,Romania vs United States of America,2 5 2 2 4 3 1 3,"9
13"
2024,classification,"Men's Classification 5-8 Match 41
OFFICIAL",2/15/2024 4:00,Montenegro vs Greece,2 2 3 4 1 2 4 2,"13
14"
2024,classification,"Men's Classification 5-8 Match 42
OFFICIAL",2/15/2024 6:30,Serbia vs Hungary,5 2 2 5 2 1 2 2,"11
10"
2024,classification,"Men's Placement Match 7/8
OFFICIAL",2/17/2024 2:00,Montenegro vs Hungary,3 4 3 2 3 3 5 5,"16
18"
2024,classification,"Men's Placement Match 5/6
OFFICIAL",2/17/2024 8:00,Greece vs Serbia,5 2 3 3 2 4 5 2,"15
11"
2024,round-of-16,"Men's Preliminary Round II Match 27
OFFICIAL",2/11/2024 4:00,Croatia vs People's Republic of China,5 2 5 1 6 1 6 0,"22
4"
2024,round-of-16,"Men's Preliminary Round II Match 28
OFFICIAL",2/11/2024 8:00,Australia vs France,3 2 3 4 1 2 1 3,"8
11"
2024,round-of-16,"Men's Preliminary Round II Match 29
OFFICIAL",2/11/2024 9:30,Montenegro vs Romania,3 5 4 1 2 2 3 1,"12
9"
2024,round-of-16,"Men's Preliminary Round II Match 30
OFFICIAL",2/11/2024 11:00,United States of America vs Italy,3 3 1 3 4 4 4 3,"12
13"
2024,group-a,"Men's Preliminary Round I - Group A Match 2
OFFICIAL",2/5/2024 1:00,South Africa vs Spain,1 6 0 7 0 4 4 4,"5
21"
2024,group-a,"Men's Preliminary Round I - Group A Match 1
OFFICIAL",2/5/2024 5:30,Croatia vs Australia,5 1 4 2 2 2 2 3,"13
8"
2024,group-a,"Men's Preliminary Round I - Group A Match 16
OFFICIAL",2/7/2024 5:30,Australia vs South Africa,6 2 8 1 7 1 8 3,"29
7"
2024,group-a,"Men's Preliminary Round I - Group A Match 15
OFFICIAL",2/7/2024 11:00,Spain vs Croatia,2 1 3 2 1 0 4 3,"10
6"
2024,group-a,"Men's Preliminary Round I - Group A Match 21
OFFICIAL",2/9/2024 5:30,Australia vs Spain,2 4 3 2 2 4 2 5,"9
15"
2024,group-a,"Men's Preliminary Round I - Group A Match 22
OFFICIAL",2/9/2024 8:00,South Africa vs Croatia,2 7 1 7 3 7 0 8,"6
29"
